position,age,market_value,country_from,club_from,country_to,club_to,fee
Centre-Forward,21,150,Germany,Borussia Dortmund,England,Manchester City,60
Right Winger,22,35,Netherlands,Ajax Amsterdam,England,Manchester United,95
Centre-Back,21,40,England,Leicester City,England,Chelsea FC,80
Defensive Midfield,22,60,Monaco,AS Monaco,Spain,Real Madrid,80
Centre-Forward,23,55,Portugal,SL Benfica,England,Liverpool FC,75
Defensive Midfield,30,40,Spain,Real Madrid,England,Manchester United,70
Centre-Forward,22,30,Spain,Real Sociedad,England,Newcastle United,70
Centre-Back,22,70,Italy,Juventus FC,Germany,Bayern Munich,67
Left Winger,27,70,England,Manchester City,England,Chelsea FC,56
Left Winger,30,70,England,Liverpool FC,Germany,Bayern Munich,32
Centre-Forward,29,70,England,Chelsea FC,Italy,Inter Milan,8
Left-Back,24,28,England,Brighton & Hove Albion,England,Chelsea FC,65
Right Winger,24,65,Italy,ACF Fiorentina,Italy,Juventus FC,40
Centre-Back,23,60,Spain,Sevilla FC,Spain,FC Barcelona,50
Centre-Forward,25,48,England,Everton FC,England,Tottenham Hotspur,58
Right Winger,25,45,England,Leeds United,Spain,FC Barcelona,58
Centre-Back,24,32,Netherlands,Ajax Amsterdam,England,Manchester United,57
Central Midfield,26,55,Italy,SSC Napoli,France,Paris Saint-Germain,23
Centre-Forward,25,50,England,Manchester City,England,Arsenal FC,52
Centre-Back,24,48,Italy,Atalanta BC,England,Tottenham Hotspur,50
Defensive Midfield,26,50,England,Leeds United,England,Manchester City,49
Central Midfield,25,50,Spain,Valencia CF,France,Paris Saint-Germain,18
Central Midfield,29,48,England,Manchester United,Italy,Juventus FC,free transfer
Centre-Forward,33,45,Germany,Bayern Munich,Spain,FC Barcelona,45
Central Midfield,23,35,Portugal,Sporting CP,England,Wolverhampton Wanderers,45
Central Midfield,25,45,Italy,AC Milan,Spain,FC Barcelona,free transfer
Attacking Midfield,25,35,France,Olympique Lyon,England,West Ham United,42
Centre-Forward,22,42,France,OGC Nice,France,Stade Rennais FC,28
Central Midfield,22,30,Portugal,FC Porto,France,Paris Saint-Germain,41
Centre-Back,25,35,Italy,Torino FC,Italy,Juventus FC,41
Left-Back,20,40,Portugal,Sporting CP,France,Paris Saint-Germain,38
Left Winger,25,40,Spain,Valencia CF,England,Wolverhampton Wanderers,32
Centre-Back,29,40,Spain,Sevilla FC,England,Aston Villa,31
Centre-Back,29,40,England,Chelsea FC,Spain,Real Madrid,free transfer
Centre-Back,31,35,Italy,SSC Napoli,England,Chelsea FC,38
Centre-Back,22,30,France,LOSC Lille,England,Newcastle United,37
Centre-Forward,23,30,Italy,US Sassuolo,England,West Ham United,36
Attacking Midfield,22,25,Portugal,FC Porto,England,Arsenal FC,35
Centre-Back,26,12,France,Stade Rennais FC,England,West Ham United,35
Left-Back,25,25,England,Manchester City,England,Arsenal FC,35
Defensive Midfield,20,10,France,LOSC Lille,England,Everton FC,35
Centre-Forward,28,35,Netherlands,Ajax Amsterdam,Germany,Borussia Dortmund,31
Right Winger,20,35,Austria,Red Bull Salzburg,Germany,Borussia Dortmund,30
Central Midfield,25,35,England,Brighton & Hove Albion,England,Tottenham Hotspur,29
Centre-Forward,26,35,England,Chelsea FC,Germany,RB Leipzig,20
Central Midfield,20,35,Netherlands,Ajax Amsterdam,Germany,Bayern Munich,18
Centre-Back,26,35,Germany,Bayern Munich,Germany,Borussia Dortmund,free transfer
Centre-Back,26,35,England,Chelsea FC,Spain,FC Barcelona,free transfer
Second Striker,28,35,Italy,Juventus FC,Italy,AS Roma,free transfer
Centre-Back,22,33,Germany,SC Freiburg,Germany,Borussia Dortmund,20
Attacking Midfield,21,25,Austria,Red Bull Salzburg,England,Leeds United,32
Attacking Midfield,21,30,Belgium,Club Brugge KV,Italy,AC Milan,32
Left Winger,24,18,England,Tottenham Hotspur,Netherlands,Ajax Amsterdam,31
Centre-Back,27,30,Germany,Borussia Dortmund,England,Manchester City,17
Defensive Midfield,26,30,England,Fulham FC,Italy,SSC Napoli,15
Left-Back,24,30,Spain,Atlético de Madrid,England,Nottingham Forest,5
Central Midfield,25,30,England,Tottenham Hotspur,Italy,SSC Napoli,0.5
Left-Back,25,30,Germany,RB Leipzig,Germany,TSG 1899 Hoffenheim,loan transfer
Attacking Midfield,22,11,England,Wolverhampton Wanderers,England,Nottingham Forest,29
Central Midfield,24,28,France,LOSC Lille,France,Paris Saint-Germain,15
Defensive Midfield,27,28,England,Wolverhampton Wanderers,England,Aston Villa,15
Second Striker,22,28,Italy,US Sassuolo,Italy,SSC Napoli,5
Centre-Forward,20,28,France,Stade Reims,France,Paris Saint-Germain,loan transfer
Defensive Midfield,22,27,Austria,Red Bull Salzburg,Monaco,AS Monaco,15
Central Midfield,24,27,Germany,VfL Wolfsburg,Germany,RB Leipzig,12
Defensive Midfield,25,27,Italy,Juventus FC,England,Chelsea FC,3
Left-Back,24,20,Germany,TSG 1899 Hoffenheim,Germany,RB Leipzig,26
Left Winger,23,25,Netherlands,Feyenoord Rotterdam,England,Leeds United,25
Centre-Back,24,25,Italy,Juventus FC,Italy,Atalanta BC,20
Defensive Midfield,26,25,Portugal,Sporting CP,England,Fulham FC,20
Centre-Forward,25,25,Germany,VfB Stuttgart,England,Wolverhampton Wanderers,18
Central Midfield,23,25,England,Arsenal FC,France,Olympique Marseille,11
Right-Back,22,25,England,Manchester City,Portugal,Sporting CP,8
Left Winger,28,25,Spain,Sevilla FC,Netherlands,Ajax Amsterdam,4
Left Winger,31,25,Italy,SSC Napoli,Canada,Toronto FC,free transfer
Defensive Midfield,22,25,France,Olympique Marseille,England,Aston Villa,free transfer
Centre-Back,29,25,England,Wolverhampton Wanderers,England,Everton FC,loan transfer
Right Winger,27,25,England,Arsenal FC,France,OGC Nice,loan transfer
Right Winger,21,25,England,Chelsea FC,Germany,Bayer 04 Leverkusen,loan transfer
Left-Back,25,25,England,Tottenham Hotspur,Spain,Atlético de Madrid,loan transfer
